Універсам №1;1кв.;43102.6;44568.1;103.40002691252963;209;189
Галактон;1кв.;11707.2;10922.8;93.29984966516331;45;40
Поляниця;1кв.;5498.0;5650.9;102.78101127682793;20;18
Універсам №1;2кв.;52684.5;51825.4;98.36934961895814;200;190
Галактон;2кв.;15905.3;16000.2;100.59665646042515;46;45
Поляниця;2кв.;6895.0;7000.4;101.52864394488759;25;23
Універсам №1;3кв.;68453.4;68400.3;99.92242898088335;198;195
Галактон;3кв.;14236.6;14000.7;98.34300324515685;45;43
Поляниця;3кв.;7245.2;7300.1;100.75774305747254;23;23
Універсам №1;4кв.;7529.9;7524.0;99.92164570578626;22;21
Галактон;4кв.;1566.0;1540.1;98.34610472541506;5;5
Поляниця;4кв.;797.0;803.0;100.75282308657465;3;3
